10_09 Answer Sheet,
,
Number:,Answer:
Section 1:,
Section 2:,
1,A
2,B
3,?
4,D
5,C
6,E
7,A
8,B
9,C
10,D
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
Section 3:,
1,A
2,C
3,B
4,D
5,E
6,A
7,B
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
21,?
22,?
23,?
24,?
25,?
Section 4:,
Section 5:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
Section 6:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
21,?
22,?
23,?
24,?
25,?
26,?
27,?
28,?
29,?
30,?
31,?
32,?
33,?
34,?
35,?
Section 7:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
19,?
20,?
21,?
22,?
23,?
24,?
Section 8:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
Section 9:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
15,?
16,?
17,?
18,?
Section 10:,
1,?
2,?
3,?
4,?
5,?
6,?
7,?
8,?
9,?
10,?
11,?
12,?
13,?
14,?
